phyto_name,match.name,genus,species,MFG,MFG2,mld,source
Pyramimonas inconstans,Pyramimonas inconstans,Pyramimonas,inconstans,NA,NA,,
Pyramimonas micron,Pyramimonas micron,Pyramimonas,micron,NA,NA,,
Pyramimonas tetrarhynchus,Pyramimonas tetrarhynchus,Pyramimonas,tetrarhynchus,NA,NA,,
Salpingoeca,Salpingoeca,Salpingoeca,,NA,NA,,
Salpingoeca frequentissima,Salpingoeca frequentissima,Salpingoeca,frequentissima,NA,NA,,
Salpingoeca gracilis,Salpingoeca gracilis,Salpingoeca,gracilis,NA,NA,,
Scourfieldia,Scourfieldia,Scourfieldia,,NA,NA,,
Scourfieldia cordiformis,Scourfieldia cordiformis,Scourfieldia,cordiformis,NA,NA,,
Selenochloris quadriloba,Selenochloris quadriloba,Selenochloris,quadriloba,NA,NA,,
Skeletonema,Skeletonema,Skeletonema,,NA,NA,,
Skeletonema potamos,Skeletonema potamos,Skeletonema,potamos,NA,NA,,
Skeletonema subsalsum,Skeletonema subsalsum,Skeletonema,subsalsum,NA,NA,,
Spermatozopsis exsultans,Spermatozopsis exsultans,Spermatozopsis,exsultans,NA,NA,,
Sphaerospermopsis,Sphaerospermopsis,Sphaerospermopsis,,NA,NA,,
Sphaerospermopsis aphanizomenoides,Sphaerospermopsis aphanizomenoides,Sphaerospermopsis,aphanizomenoides,NA,NA,,
Spirulina,Spirulina,Spirulina,,NA,NA,,
Spirulina laxa,Spirulina laxa,Spirulina,laxa,NA,NA,,
Stichococcus,Stichococcus,Stichococcus,,NA,NA,,
Stichococcus bacillaris,Stichococcus bacillaris,Stichococcus,bacillaris,NA,NA,,
Stichococcus minutissimus,Stichococcus minutissimus,Stichococcus,minutissimus,NA,NA,,
Stichococcus subtilis,Klebsormidium subtile,Klebsormidium,subtile,NA,NA,,
Strombomonas,Strombomonas,Strombomonas,,NA,NA,,
Strombomonas giarardiana,Strombomonas giarardiana,Strombomonas,giarardiana,NA,NA,,
Strombomonas gibberosa,Strombomonas gibberosa,Strombomonas,gibberosa,NA,NA,,
Synedra (medium),Tabularia grandis,Tabularia,grandis,6b2-LUniPenn,6b2-LUniPenn,,
Tetrabaena socialis,Tetrabaena socialis,Tetrabaena,socialis,NA,NA,,
Tetradesmus,Tetradesmus,Tetradesmus,,NA,NA,,
Tetradesmus bernardii,Tetradesmus bernardii,Tetradesmus,bernardii,NA,NA,,
Tetradesmus dimorphus,Tetradesmus dimorphus,Tetradesmus,dimorphus,NA,NA,,
Tetradesmus lagerheimii,Tetradesmus lagerheimii,Tetradesmus,lagerheimii,NA,NA,,
Tetradesmus lunatus,Tetradesmus lunatus,Tetradesmus,lunatus,NA,NA,,
Tetradesmus obliquus,Tetradesmus obliquus,Tetradesmus,obliquus,NA,NA,,
Tetradesmus obliquus single,Tetradesmus obliquus dactylococcoides,Tetradesmus,obliquus dactylococcoides,NA,NA,,
Tetraedriella,Tetraedriella,Tetraedriella,,NA,NA,,
Tetraedriella regularis,Tetraedriella regularis,Tetraedriella,regularis,NA,NA,,
Thalassiosira proschkinae,Minidiscus proschkinae,Minidiscus,proschkinae,7a-SmallCent,7a-SmallCent,,
Tryblionella,Tryblionella,Tryblionella,,NA,NA,,
Tryblionella angustulata,Tryblionella angustulata,Tryblionella,angustulata,NA,NA,,
Tryblionella levidensis,Tryblionella levidensis,Tryblionella,levidensis,NA,NA,,
Ulothrix with short,NA,,,10a-FilaChlorp,10a-FilaChlorp,,
Uroglenopsis americana,Uroglenopsis americana,Uroglenopsis,americana,NA,NA,,
Volvox aureus,Volvox aureus,Volvox,aureus,NA,NA,,
