genus,species,MFG,genspp,source
Astasia,,1c-LargeEugl,Astasia,Salmaso Geisha Powell Center Workshop
Asterionella,ralfsii,6b1-LColPenn,Asterionella ralfsii,Salmaso Geisha Powell Center Workshop
Asterionella,formosa,6b1-LColPenn,Asterionella formosa,Salmaso Geisha Powell Center Workshop
Asterionella,formosa complex,6b1-LColPenn,Asterionella formosa complex,Salmaso Geisha Powell Center Workshop
Asterococcus,,1b-LargeDino,Asterococcus,Algaebase
Attheya,zachariasii,6a2-LUniCent,Attheya zachariasii,Algaebase
Aulacoseira,,6a1-LColCent,Aulacoseira,Salmaso Geisha Powell Center Workshop
Aulacoseira,granulata,6a1-LColCent,Aulacoseira granulata,Salmaso & Padisak 2007
Aulacoseira,islandica,6a1-LColCent,Aulacoseira islandica,Salmaso & Padisak 2007
Aulacoseira,granulata angustissima,6a1-LColCent,Aulacoseira granulata angustissima,Salmaso & Padisak 2007
Aulacoseira,italica,6a1-LColCent,Aulacoseira italica,Salmaso & Padisak 2007
Aulacoseira,ambigua,6a1-LColCent,Aulacoseira ambigua,Li et al. 2018
Bacillaria,paxillifera,6b1-LColPenn,Bacillaria paxillifera,Western Diatoms of North America
Bambusina,borreri,10b-FilaConj,Bambusina borreri,Algaebase
Bambusina,delicatissima,10b-FilaConj,Bambusina delicatissima,Algaebase
Belonastrum,berolinense,6b1-LColPenn,Belonastrum berolinense,Salmaso Geisha Powell Center Workshop
Bicosta,minor,1b-LargeDino,Bicosta minor,Rimet et al. 2018
Biecheleria,pseudopalustris,2b-SmallDino,Biecheleria pseudopalustris,Rimet et al. 2018
Binuclearia,lauterbornii,10a-FilaChlorp,Binuclearia lauterbornii,Rimet et al. 2018
Bitrichia,chodatii,2a-SmallChry1,Bitrichia chodatii,Salmaso & Padisak 2007
Borzia,,5a-FilaCyano,Borzia,Rimet et al. 2018
Botrydium,,1c-LargeEugl,Botrydium,Rimet et al. 2018
Botryococcus,braunii,11a-NakeChlor,Botryococcus braunii,Salmaso & Padisak 2007
Bracchiogonium,,9d-SmallUnic,Bracchiogonium,Salmaso Geisha Powell Center Workshop
Brachysira,neoexilis,7b-SmallPenn,Brachysira neoexilis,Western Diatoms of North America
Bumilleriopsis,closterioides,1c-LargeEugl,Bumilleriopsis closterioides,Algaebase
C.,cyclopuncta,7a-SmallCent,C. cyclopuncta,Salmaso & Padisak 2007
C.,krammeri,7a-SmallCent,C. krammeri,Salmaso & Padisak 2007
C.,gordonensis,7a-SmallCent,C. gordonensis,Salmaso & Padisak 2007
C.,ocellata,7a-SmallCent,C. ocellata,Salmaso & Padisak 2007
C.,ps.,7a-SmallCent,C. ps.,Salmaso & Padisak 2007
C.,pseudocomensis ps.,7a-SmallCent,C. pseudocomensis ps.,Salmaso & Padisak 2007
C.,psudocomensis,7a-SmallCent,C. psudocomensis,Salmaso & Padisak 2007
C.,radiosa,7a-SmallCent,C. radiosa,Salmaso & Padisak 2007
C.,,7a-SmallCent,C.,Salmaso & Padisak 2007
C.,tripartita,7a-SmallCent,C. tripartita,Salmaso & Padisak 2007
Caloneis,,6b2-LUniPenn,Caloneis,Salmaso & Padisak 2007
Calothrix,,5a-FilaCyano,Calothrix,Algaebase
Calycomonas,pascheri,2a-SmallChry1,Calycomonas pascheri,nordic microalgae
Campylodiscus,noricus,6b2-LUniPenn,Campylodiscus noricus,Western Diatoms of North America
Carteria,,3a-UnicPhyto,Carteria,Salmaso Geisha Powell Center Workshop
Centrales,,7a-SmallCent,Centrales <,description
Centrales,um,7a-SmallCent,Centrales um,description
Centric,Diatom,7a-SmallCent,Centric Diatom,description
Centric,diatom,7a-SmallCent,Centric diatom,description
Centritractus,belenophorus,1c-LargeEugl,Centritractus belenophorus,Phycokey
Ceratium,,1b-LargeDino,Ceratium,Salmaso Geisha Powell Center Workshop
Ceratium,hirundinella,1b-LargeDino,Ceratium hirundinella,Salmaso Geisha Powell Center Workshop
Chaetoceros,,6a1-LColCent,Chaetoceros,Western Diatoms of North America
Characiopsis,,8b-LargeUnic,Characiopsis,Algaebase
Characium,,9b-SmallChlor,Characium,Algaebase
Chimonodinium,lomnickii,1b-LargeDino,Chimonodinium lomnickii,Rimet et al. 2018
Chlamydomonas,,3a-UnicPhyto,Chlamydomonas,Salmaso Geisha Powell Center Workshop
Chlamydomonas,"sp., small",3a-UnicPhyto,"Chlamydomonas sp., small",Salmaso & Padisak 2007
Chlorella,vulgaris,9b-SmallChlor,Chlorella vulgaris,Li et al. 2018
Chlorocloster,,8b-LargeUnic,Chlorocloster,Algaebase
Chlorococcaceae,,9b-SmallChlor,Chlorococcaceae <,description
Chlorogibba,pentagonia,9d-SmallUnic,Chlorogibba pentagonia,Freshwater Algae of North America
Chlorogonium,elongatum,3a-UnicPhyto,Chlorogonium elongatum,Salmaso Geisha Powell Center Workshop
Chlorogonium,,3a-UnicPhyto,Chlorogonium,Salmaso Geisha Powell Center Workshop
Chloroidium,ellipsoideum,9b-SmallChlor,Chloroidium ellipsoideum,Li et al. 2018
Chlorolobion,saxatile,11a-NakeChlor,Chlorolobion saxatile,Salmaso Geisha Powell Center Workshop
Chlorolobion,,11a-NakeChlor,Chlorolobion,Salmaso Geisha Powell Center Workshop
Chloromonas,rapida,3a-UnicPhyto,Chloromonas rapida,Salmaso Geisha Powell Center Workshop
Chlorotetraedron,incus,9b-SmallChlor,Chlorotetraedron incus,Rimet et al. 2018
Chodatella,,9b-SmallChlor,Chodatella,Tsarenko 2011
Choricystis,chodatii,9b-SmallChlor,Choricystis chodatii,Algaebase
Choricystis,minor,9b-SmallChlor,Choricystis minor,Algaebase
Chromophysomonas,serrata,2a-SmallChry1,Chromophysomonas serrata,Algaebase
Chromulina,aerophyla,2a-SmallChry1,Chromulina aerophyla,Salmaso Geisha Powell Center Workshop
Chromulina,,2a-SmallChry1,Chromulina,Salmaso Geisha Powell Center Workshop
Synechocystis,,5d-SmallChroo,Chroococcaceae/Synechocystis (blue-greens <,description
Chroococcus,minutus,5d-SmallChroo,Chroococcus minutus,Salmaso Geisha Powell Center Workshop
Chroococcus,,5d-SmallChroo,Chroococcus,Salmaso Geisha Powell Center Workshop
Chroococcus,minutus +,5c-OtherChroo,Chroococcus minutus +,Salmaso & Padisak 2007
Chroococcus,minutus obliteratus,5d-SmallChroo,Chroococcus minutus obliteratus,Salmaso & Padisak 2007
Chroococcus,"nagy, laza",5d-SmallChroo,"Chroococcus nagy, laza",Salmaso & Padisak 2007
Chroococcus,"sp.kicsi, tomott",5d-SmallChroo,"Chroococcus sp.kicsi, tomott",Salmaso & Padisak 2007
Chroomonas,acuta,2d-Crypto,Chroomonas acuta,Salmaso & Padisak 2007
Chroomonas,nordstedtii,2d-Crypto,Chroomonas nordstedtii,Salmaso & Padisak 2007
Chrysamoeba,,2a-SmallChry1,Chrysamoeba,Salmaso & Padisak 2007
Chrysastrella,furcata,2a-SmallChry1,Chrysastrella furcata,Kapustin et al. 2019
Chrysidiastrum,catenatum,1a-LargeChry,Chrysidiastrum catenatum,nordic microalgae
Chrysochromulina,,2a-SmallChry1,Chrysochromulina,Salmaso Geisha Powell Center Workshop
Chrysochromulina,parva,2a-SmallChry1,Chrysochromulina parva,Salmaso Geisha Powell Center Workshop
Chrysococcus,,2a-SmallChry1,Chrysococcus,Salmaso & Padisak 2007
Chrysoflagellates,,2a-SmallChry1,Chrysoflagellates,Tolotti et al. 2010
Chrysoflagellates,undet.,2a-SmallChry1,Chrysoflagellates undet.,Tolotti et al. 2010
Chrysoikos,skujae,2a-SmallChry1,Chrysoikos skujae,Rimet et al. 2018
Chrysolykos,planktonicus,2a-SmallChry1,Chrysolykos planktonicus,Salmaso & Padisak 2007
Chrysophyceae,cysts,9c-SmallChry2,Chrysophyceae cysts,Salmaso & Padisak 2007
Chrysophyceae,(small),2a-SmallChry1,Chrysophyceae (small),description
Chrysopora,fenestrata,2a-SmallChry1,Chrysopora fenestrata,Salmaso & Padisak 2007
Chrysosphaerella,longispina,1a-LargeChry,Chrysosphaerella longispina,Algaebase
Chrysosporum,minus,5e-Nostocales,Chrysosporum minus,Algaebase
Chrysosporum,ovalisporum,5e-Nostocales,Chrysosporum ovalisporum,Algaebase
Chrysostephanosphaera,globulifera,2a-SmallChry1,Chrysostephanosphaera globulifera,Algaebase
Cladomonas,fruticulosa,1c-LargeEugl,Cladomonas fruticulosa,Rimet et al. 2018
Cladophora,,10a-FilaChlorp,Cladophora,Salmaso & Padisak 2007
Closteriopsis,,8a-LargeCoCh,Closteriopsis,Salmaso Geisha Powell Center Workshop
Closteriopsis,longissima,8a-LargeCoCh,Closteriopsis longissima,Salmaso & Padisak 2007
Closterium,acutum,8a-LargeCoCh,Closterium acutum,Salmaso Geisha Powell Center Workshop
Closterium,pronum,8a-LargeCoCh,Closterium pronum,Salmaso Geisha Powell Center Workshop
Closterium,,8a-LargeCoCh,Closterium,Salmaso Geisha Powell Center Workshop
Closterium,aciculare,8a-LargeCoCh,Closterium aciculare,Salmaso & Padisak 2007
Closterium,acutum variabile,8a-LargeCoCh,Closterium acutum variabile,Salmaso & Padisak 2007
Closterium,pronum pronum,8a-LargeCoCh,Closterium pronum pronum,Salmaso & Padisak 2007
Coccomyxa,littoralis,9b-SmallChlor,Coccomyxa littoralis,Algaebase; Tsarenko 2011
Cocconeis,,7b-SmallPenn,Cocconeis,Salmaso Geisha Powell Center Workshop
Coelastrum,,11a-NakeChlor,Coelastrum,Salmaso Geisha Powell Center Workshop
Coelastrum,astroideum,11a-NakeChlor,Coelastrum astroideum,Salmaso & Padisak 2007
Coelastrum,indicum,11a-NakeChlor,Coelastrum indicum,Salmaso & Padisak 2007
Coelastrum,microporum,11a-NakeChlor,Coelastrum microporum,Li et al. 2018
Coelastrum,verrucosum,11a-NakeChlor,Coelastrum verrucosum,Li et al. 2018
Coelosphaerium,,5c-OtherChroo,Coelosphaerium,Salmaso & Padisak 2007
Coelosphaerium,kuetzingianum,5c-OtherChroo,Coelosphaerium kuetzingianum,Salmaso & Padisak 2007
Coelospharium,kuetzingianum,5c-OtherChroo,Coelospharium kuetzingianum,Salmaso & Padisak 2007
Coenochloris,hindakii,11a-NakeChlor,Coenochloris hindakii,Salmaso Geisha Powell Center Workshop
Coenochloris,ovalis,11a-NakeChlor,Coenochloris ovalis,Salmaso Geisha Powell Center Workshop
Coenochloris,pyrenoideum minimum,11a-NakeChlor,Coenochloris pyrenoideum minimum,Salmaso Geisha Powell Center Workshop
Coenochloris,pyrenoidosa,11a-NakeChlor,Coenochloris pyrenoidosa,Salmaso Geisha Powell Center Workshop
Coenochloris,,11b-GelaChlor,Coenochloris,Salmaso Geisha Powell Center Workshop
Coenococcus,,1a-LargeChry,Coenococcus,Rimet et al. 2018
Coenococcus,planctonicus,1a-LargeChry,Coenococcus planctonicus,Rimet et al. 2018
Coenocystis,,11b-GelaChlor,Coenocystis,Salmaso Geisha Powell Center Workshop
Coenocystis,planococca,11b-GelaChlor,Coenocystis planococca,Salmaso & Padisak 2007
Coenodispora,litoralis,9b-SmallChlor,Coenodispora litoralis,Rimet et al. 2018
Collodictyon,,3a-UnicPhyto,Collodictyon,Algaebase
Coronastrum,,11b-GelaChlor,Coronastrum,Salmaso Geisha Powell Center Workshop
Coscinodiscus,lacustris,6a2-LUniCent,Coscinodiscus lacustris,Li et al. 2018
Cosmarium,,9a-SmallConj,Cosmarium,Salmaso Geisha Powell Center Workshop
Cosmarium,bioculatum,8a-LargeCoCh,Cosmarium bioculatum,Salmaso & Padisak 2007
Cosmarium,phaseolus,8a-LargeCoCh,Cosmarium phaseolus,Salmaso & Padisak 2007
Cosmarium,reniforme,8a-LargeCoCh,Cosmarium reniforme,Salmaso & Padisak 2007
Cosmocladium,,10a-FilaChlorp,Cosmocladium,Algaebase
Craticula,accomoda,7b-SmallPenn,Craticula accomoda,Rimet et al. 2018
Craticula,cuspidata,6b2-LUniPenn,Craticula cuspidata,Rimet et al. 2018
Craticula,subminuscula,7b-SmallPenn,Craticula subminuscula,Rimet et al. 2018
Crucigenia,quadrata,11a-NakeChlor,Crucigenia quadrata,Salmaso & Padisak 2007
Crucigenia,tetrapedia,11b-GelaChlor,Crucigenia tetrapedia,Li et al. 2018
Crucigenia,,1a-LargeChry,Crucigenia,Algaebase
Crucigenia,crucifera,1a-LargeChry,Crucigenia crucifera,Algaebase
Crucigenia,fenestrata,1b-LargeDino,Crucigenia fenestrata,Algaebase
Crucigeniella,apiculata,11a-NakeChlor,Crucigeniella apiculata,Salmaso Geisha Powell Center Workshop
Crucigeniella,,11a-NakeChlor,Crucigeniella,Salmaso Geisha Powell Center Workshop
Crucigeniella,rectangularis,11a-NakeChlor,Crucigeniella rectangularis,Salmaso & Padisak 2007
Cryptomonas,erosa,2d-Crypto,Cryptomonas erosa,Salmaso & Padisak 2007
Cryptomonas,phaseolus,2d-Crypto,Cryptomonas phaseolus,Salmaso & Padisak 2007
Cryptomonas,,2d-Crypto,Cryptomonas,Salmaso & Padisak 2007
Cryptomonas,ovata,2d-Crypto,Cryptomonas ovata,Salmaso & Padisak 2007
Cryptomonas,reflexa,2d-Crypto,Cryptomonas reflexa,Salmaso & Padisak 2007
Cryptomonas,erosa/ovata,2d-Crypto,Cryptomonas erosa/ovata,Salmaso & Padisak 2007
Cryptomonas,marssonii,2d-Crypto,Cryptomonas marssonii,Tolotti et al. 2010
Cryptomonas,obovata,2d-Crypto,Cryptomonas obovata,Tolotti et al. 2010
Cryptomonas,pyrenoidifera,2d-Crypto,Cryptomonas pyrenoidifera,Tolotti et al. 2010
Cryptomonas,rostratiformis,2d-Crypto,Cryptomonas rostratiformis,Tolotti et al. 2010
Cryptophyceae,,2d-Crypto,Cryptophyceae,Salmaso Geisha Powell Center Workshop
Cryptophyceae,ind.,2d-Crypto,Cryptophyceae ind.,Salmaso & Padisak 2007
Crytomonas,,2d-Crypto,Crytomonas,Li et al. 2018
Cuspidothrix,issatschenkoi,5e-Nostocales,Cuspidothrix issatschenkoi,Salmaso Geisha Powell Center Workshop
Cyano,spiral,5a-FilaCyano,Cyano spiral,description
Cyanobium,,4-UnicCyano,Cyanobium,Salmaso Geisha Powell Center Workshop
Cyanocatena,imperfecta,5c-OtherChroo,Cyanocatena imperfecta,Algaebase
Cyanodictyon,planctonicum,5c-OtherChroo,Cyanodictyon planctonicum,Salmaso Geisha Powell Center Workshop
Cyanogranis,,5b-LargeVacC,Cyanogranis,Rimet et al. 2018
Cyanogranis,ferruginea,5b-LargeVacC,Cyanogranis ferruginea,Rimet et al. 2018
Cyanonephron,styloides,5d-SmallChroo,Cyanonephron styloides,Algaebase
Cyanosarcina,chroococcoides,5c-OtherChroo,Cyanosarcina chroococcoides,CyanoDB 2
Cyclotella,bodanica,7a-SmallCent,Cyclotella bodanica,Salmaso & Padisak 2007
Cyclotella,cyclopuncta,7a-SmallCent,Cyclotella cyclopuncta,Salmaso & Padisak 2007
Cyclotella,gordonensis,7a-SmallCent,Cyclotella gordonensis,Salmaso & Padisak 2007
Cyclotella,meneghiniana,7a-SmallCent,Cyclotella meneghiniana,Salmaso & Padisak 2007
Cyclotella,,7a-SmallCent,Cyclotella,Salmaso & Padisak 2007
Cyclotella,pseudocomensis,7a-SmallCent,Cyclotella pseudocomensis,Salmaso & Padisak 2007
Cyclotella,krammeri,7a-SmallCent,Cyclotella krammeri,Salmaso & Padisak 2007
Cyclotella,ocellata,7a-SmallCent,Cyclotella ocellata,Salmaso & Padisak 2007
Cyclotella,radiosa,7a-SmallCent,Cyclotella radiosa,Salmaso & Padisak 2007
Cyclotella,tripartita,7a-SmallCent,Cyclotella tripartita,Salmaso & Padisak 2007
Cylindrocapsa,,10a-FilaChlorp,Cylindrocapsa,Algaebase
Cylindrospermopsis,,5e-Nostocales,Cylindrospermopsis,Salmaso Geisha Powell Center Workshop
Cylindrospermopsis,raciborskii,5e-Nostocales,Cylindrospermopsis raciborskii,Li et al. 2018
Cylindrospermum,,5e-Nostocales,Cylindrospermum,Algaebase
Cymatopleura,solea,6b1-LColPenn,Cymatopleura solea,Salmaso & Padisak 2007
Cymbella,,7b-SmallPenn,Cymbella,Salmaso Geisha Powell Center Workshop
Cymbella,minuta,7b-SmallPenn,Cymbella minuta,Tolotti et al. 2010
Cymbopleura,lata,7b-SmallPenn,Cymbopleura lata,Western Diatoms of North America
Cymbopleura,similiformis,7b-SmallPenn,Cymbopleura similiformis,Western Diatoms of North America
Dactylococcopsis,fascicularis,5d-SmallChroo,Dactylococcopsis fascicularis,Komarek 1969
Dactylosphaerium,,1b-LargeDino,Dactylosphaerium,Algaebase
Deasonia,,9b-SmallChlor,Deasonia,Freshwater Algae of North America
Deasonia,prolifera,9b-SmallChlor,Deasonia prolifera,Freshwater Algae of North America
Delicata,delicatula,7b-SmallPenn,Delicata delicatula,Rimet et al. 2018
Denticula,tenuis,7b-SmallPenn,Denticula tenuis,Tolotti et al. 2010
Desmatractum,indutum,9b-SmallChlor,Desmatractum indutum,Salmaso Geisha Powell Center Workshop
Desmatractum,,9b-SmallChlor,Desmatractum,Salmaso Geisha Powell Center Workshop
Desmidium,,10b-FilaConj,Desmidium,Algaebase
Desmidium,aptogonum,10b-FilaConj,Desmidium aptogonum,Algaebase
Desmidium,grevillei,10b-FilaConj,Desmidium grevillei,Algaebase
Desmidium,quadratum,10b-FilaConj,Desmidium quadratum,Algaebase
Desmodesmus,quadricauda,11a-NakeChlor,Desmodesmus quadricauda,Li et al. 2018
Desmodesmus,brasiliensis,11a-NakeChlor,Desmodesmus brasiliensis,Li et al. 2018
Desmodesmus,denticulatus,11a-NakeChlor,Desmodesmus denticulatus,Li et al. 2018
Diatoma,ehrenbergii,6b1-LColPenn,Diatoma ehrenbergii,Salmaso Geisha Powell Center Workshop
Diatoma,,7b-SmallPenn,Diatoma,Salmaso Geisha Powell Center Workshop
Diatoma,tenuis,6b1-LColPenn,Diatoma tenuis,Salmaso & Padisak 2007
Diatoma,vulgare,6b1-LColPenn,Diatoma vulgare,Salmaso & Padisak 2007
Diatoma,herenbergii,6b1-LColPenn,Diatoma herenbergii,Tolotti et al. 2010
Diatoma,mesodon,7b-SmallPenn,Diatoma mesodon,Tolotti et al. 2010
Dichotomococcus,,11b-GelaChlor,Dichotomococcus,Salmaso Geisha Powell Center Workshop
Dichotomococcus,curvatus,11b-GelaChlor,Dichotomococcus curvatus,Salmaso Geisha Powell Center Workshop
Dichtiosphaerium,,11a-NakeChlor,Dichtiosphaerium,Tolotti et al. 2010
Dictyochlorella,reniformis,9b-SmallChlor,Dictyochlorella reniformis,Komarek & Fott 1983
Dictyococcus,,1a-LargeChry,Dictyococcus,Algaebase
Dictyosphaerium,,11b-GelaChlor,Dictyosphaerium,Salmaso Geisha Powell Center Workshop
Dictyosphaerium,pulchellum,11b-GelaChlor,Dictyosphaerium pulchellum,Salmaso & Padisak 2007
Didymocystis,bicellularis,11a-NakeChlor,Didymocystis bicellularis,Salmaso Geisha Powell Center Workshop
Didymocystis,fina,11a-NakeChlor,Didymocystis fina,Salmaso Geisha Powell Center Workshop
Didymocystis,planctonica,11a-NakeChlor,Didymocystis planctonica,Salmaso Geisha Powell Center Workshop
Didymocystis,,11b-GelaChlor,Didymocystis,Salmaso Geisha Powell Center Workshop
Didymogenes,,11b-GelaChlor,Didymogenes,Salmaso Geisha Powell Center Workshop
Dimorphococcus,cordatus,11a-NakeChlor,Dimorphococcus cordatus,Salmaso Geisha Powell Center Workshop
Dimorphococcus,lunatus,11a-NakeChlor,Dimorphococcus lunatus,Salmaso Geisha Powell Center Workshop
Dimorphococcus,,11b-GelaChlor,Dimorphococcus,Salmaso Geisha Powell Center Workshop
Dinobryion,petiolatum,2a-SmallChry1,Dinobryion petiolatum,Salmaso & Padisak 2007
Dinobryon,,1a-LargeChry,Dinobryon,Salmaso Geisha Powell Center Workshop
Dinobryon,divergens,1a-LargeChry,Dinobryon divergens,Salmaso & Padisak 2007
Dinobryon,sociale,1a-LargeChry,Dinobryon sociale,Salmaso & Padisak 2007
Dinobryon,acuminatum,1a-LargeChry,Dinobryon acuminatum,Salmaso & Padisak 2007
Dinobryon,bavaricum,1a-LargeChry,Dinobryon bavaricum,Salmaso & Padisak 2007
Dinobryon,crenulatum,1a-LargeChry,Dinobryon crenulatum,Salmaso & Padisak 2007
Dinobryon,cylindricum,1a-LargeChry,Dinobryon cylindricum,Salmaso & Padisak 2007
Dinobryon,cysts,9c-SmallChry2,Dinobryon cysts,Salmaso & Padisak 2007
Dinobryon,eurystoma,1a-LargeChry,Dinobryon eurystoma,Salmaso & Padisak 2007
Dinobryon,pediforme,1a-LargeChry,Dinobryon pediforme,Salmaso & Padisak 2007
Dinobryon,suecicum,1a-LargeChry,Dinobryon suecicum,Salmaso & Padisak 2007
dinophyta,cyst,9d-SmallUnic,dinophyta cyst,Salmaso & Padisak 2007
Dinosphaera,palustris,2b-SmallDino,Dinosphaera palustris,Carty 2014
Diplochloris,,3a-UnicPhyto,Diplochloris,Salmaso Geisha Powell Center Workshop
Diploneis,elliptica,7b-SmallPenn,Diploneis elliptica,Salmaso Geisha Powell Center Workshop
Diploneis,maulerii,7b-SmallPenn,Diploneis maulerii,Salmaso Geisha Powell Center Workshop
Diploneis,minuta,7b-SmallPenn,Diploneis minuta,Salmaso Geisha Powell Center Workshop
Diploneis,oblongella,7b-SmallPenn,Diploneis oblongella,Salmaso Geisha Powell Center Workshop
Diploneis,oculata,7b-SmallPenn,Diploneis oculata,Salmaso Geisha Powell Center Workshop
Diploneis,ovalis,7b-SmallPenn,Diploneis ovalis,Salmaso Geisha Powell Center Workshop
Diploneis,,7b-SmallPenn,Diploneis,Salmaso Geisha Powell Center Workshop
Diplopsalis,acuta,2b-SmallDino,Diplopsalis acuta,Algaebase
Discostella,stelligera,7a-SmallCent,Discostella stelligera,Western Diatoms of North America
Dolichospermum,circinale,5e-Nostocales,Dolichospermum circinale,Salmaso Geisha Powell Center Workshop
Dolichospermum,,5e-Nostocales,Dolichospermum,Salmaso Geisha Powell Center Workshop
Drepanochloris,nannoselene,1a-LargeChry,Drepanochloris nannoselene,Algaebase
Ducellieria,chodatii,1c-LargeEugl,Ducellieria chodatii,Algaebase
Dysmorphococcus,globosus,3a-UnicPhyto,Dysmorphococcus globosus,Algaebase
