"","genus","species","MFG","genspp","source"
"51","Diploneis","minuta","7b-SmallPenn","Diploneis minuta","Salmaso Geisha Powell Center Workshop"
"52","Diploneis","oblongella","7b-SmallPenn","Diploneis oblongella","Salmaso Geisha Powell Center Workshop"
"53","Diploneis","oculata","7b-SmallPenn","Diploneis oculata","Salmaso Geisha Powell Center Workshop"
"54","Diploneis","ovalis","7b-SmallPenn","Diploneis ovalis","Salmaso Geisha Powell Center Workshop"
"55","Diploneis","","7b-SmallPenn","Diploneis","Salmaso Geisha Powell Center Workshop"
"56","Diplopsalis","acuta","2b-SmallDino","Diplopsalis acuta","Algaebase"
"489","Discostella","stelligera","7a-SmallCent","Discostella stelligera","Western Diatoms of North America"
"419","Dolichospermum","circinale","5e-Nostocales","Dolichospermum circinale","Salmaso Geisha Powell Center Workshop"
"710","Dolichospermum","","5e-Nostocales","Dolichospermum","Salmaso Geisha Powell Center Workshop"
"6912","Drepanochloris","nannoselene","1a-LargeChry","Drepanochloris nannoselene","Algaebase"
"7012","Ducellieria","chodatii","1c-LargeEugl","Ducellieria chodatii","Algaebase"
"7112","Dysmorphococcus","globosus","3a-UnicPhyto","Dysmorphococcus globosus","Algaebase"
"7212","Eaustrum","","8a-LargeCoCh","Eaustrum","Salmaso & Padisak 2007"
"57","Echinosphaerella","limnetica","9b-SmallChlor","Echinosphaerella limnetica","Algaebase"
"1621","egyeb","Phytomonadina","3a-UnicPhyto","egyeb Phytomonadina","Salmaso & Padisak 2007"
"5410","Elakatothrix","","1b-LargeDino","Elakatothrix","Salmaso Geisha Powell Center Workshop"
"1631","Elakatothrix","gelatinosa","1b-LargeDino","Elakatothrix gelatinosa","Salmaso & Padisak 2007"
"4631","Elakatothrix","genevensis","1b-LargeDino","Elakatothrix genevensis","Tolotti et al. 2010"
"7312","Ellerbeckia","arenaria","6a1-LColCent","Ellerbeckia arenaria","Western Diatoms of North America"
"281","Elongated","flagella","NA","Elongated flagella","description"
"7412","Enallax","costatus","1a-LargeChry","Enallax costatus","Algaebase"
"58","Encyonema","minutum","6b1-LColPenn","Encyonema minutum","Western Diatoms of North America"
"59","Encyonema","prostratum","6b1-LColPenn","Encyonema prostratum","Western Diatoms of North America"
"60","Encyonema","reichardtii","6b1-LColPenn","Encyonema reichardtii","Western Diatoms of North America"
"61","Encyonema","silesiacum","6b1-LColPenn","Encyonema silesiacum","Western Diatoms of North America"
"62","Encyonema","triangulum","6b1-LColPenn","Encyonema triangulum","Western Diatoms of North America"
"7512","Encyonema","","6b1-LColPenn","Encyonema","Western Diatoms of North America"
"769","Encyonema","caetosum","6b1-LColPenn","Encyonema caespitosum","Western Diatoms of North America"
"773","Encyonema","leibleinii","6b1-LColPenn","Encyonema leibleinii","Western Diatoms of North America"
"63","Encyonopsis","microcephala","6b1-LColPenn","Encyonopsis microcephala","Western Diatoms of North America"
"783","Entzia","acuta","2b-SmallDino","Entzia acuta","Rimet et al. 2018"
"64","Eolimna","minima","7b-SmallPenn","Eolimna minima","Western Diatoms of North America"
"313","Epipyxis","","2a-SmallChry1","Epipyxis","Salmaso & Padisak 2007"
"455","Epithemia","","6b2-LUniPenn","Epithemia","Salmaso & Padisak 2007"
"1651","Epithemia","","6b","Epithemia","Salmaso & Padisak 2007"
"793","Erkenia","","2a-SmallChry1","Erkenia","Freshwater Algae of North America"
"803","Euastropsis","richteri","8a-LargeCoCh","Euastropsis richteri","Algaebase"
"540","Euastrum","ansatum","9a-SmallConj","Euastrum ansatum","Salmaso Geisha Powell Center Workshop"
"5510","Euastrum","","9a-SmallConj","Euastrum","Salmaso Geisha Powell Center Workshop"
"5610","Eucapsis","","5c-OtherChroo","Eucapsis","Salmaso Geisha Powell Center Workshop"
"815","Eucocconeis","flexella","7b-SmallPenn","Eucocconeis flexella","Western Diatoms of North America"
"366","Eudorina","","3b-ColoPhyto","Eudorina","Salmaso Geisha Powell Center Workshop"
"367","Eudorina","unicocca","3b-ColoPhyto","Eudorina unicocca","Salmaso Geisha Powell Center Workshop"
"3211","Eudorina","","3b-ColoPhyto","Eudorina","Salmaso & Padisak 2007"
"3141","Eudorina","elegans","3b-ColoPhyto","Eudorina elegans","Li et al. 2018"
"4131","Eudorina","elegans","3b-ColoPhyto","Eudorina elegans","Tolotti et al. 2010"
