MFG.num,original_phyto_name,phyto_name,Algaebase_Current_22Sep2017,Match.,genus,species,MFG,CSR,flagella,autotroph,size,colonial,centric,gelatinous,aerotopes,filamentous
11a,Actinastrum hantzschii Lagerheim 1882,Actinastrum hantzschii,Actinastrum hantzschii,TRUE,Actinastrum,hantzschii,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Nephrochlamys KORSHIKOV,Nephrochlamys,Nephrochlamys,TRUE,Nephrochlamys,,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Selenastrum capricornutum PRINTZ,Selenastrum capricornutum,Selenastrum capricornutum,TRUE,Selenastrum,capricornutum,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Ankistrodesmus fusiformis CORDA,Ankistrodesmus fusiformis,Ankistrodesmus fusiformis,TRUE,Ankistrodesmus,fusiformis,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Scenedesmus denticulatus LAGERHEIM,Scenedesmus denticulatus,Desmodesmus denticulatus,FALSE,Desmodesmus,denticulatus,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Crucigenia MORREN SENSU KOMAREK 1830 sp.,Crucigenia,Crucigenia,TRUE,Crucigenia,,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Scenedesmus MEYEN 1829 sp.,Scenedesmus,Scenedesmus,TRUE,Scenedesmus,,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Botryococcus braunii K?ZING 1849,Botryococcus braunii,Botryococcus braunii,TRUE,Botryococcus,braunii,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Micractinium FRESENIUS sp.,Micractinium,Micractinium,TRUE,Micractinium,,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Selenastrum REINSCH 1867 sp.,Selenastrum,Selenastrum,TRUE,Selenastrum,,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Crucigenia quadrata MORREN,Crucigenia quadrata,Crucigenia quadrata,TRUE,Crucigenia,quadrata,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Pediastrum boryanum (TURPIN) MENEGHINI 1840,Pediastrum boryanum,Pseudopediastrum boryanum,FALSE,Pseudopediastrum,boryanum,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Ankistrodesmus CORDA sp.,Ankistrodesmus,Ankistrodesmus,TRUE,Ankistrodesmus,,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Pediastrum MEYEN sp.,Pediastrum,Pediastrum,TRUE,Pediastrum,,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Scenedesmus obtusus,Scenedesmus obtusus,Scenedesmus obtusus,TRUE,Scenedesmus,obtusus,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Coenochloris fottii (HIND?K) TSARENKO 1990,Coenochloris fottii,Coenochloris fottii,TRUE,Coenochloris,fottii,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Scenedesmus quadricauda (TURPIN) BR?ISSON IN BR?ISSON  & GODEY 1835,Scenedesmus quadricauda,Scenedesmus quadricauda,TRUE,Scenedesmus,quadricauda,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Coelastrum microporum N?ELI IN A. BRAUN 1855,Coelastrum microporum,Coelastrum microporum,TRUE,Coelastrum,microporum,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Coelastrum spp. N?ELI 1849 sp.,Coelastrum,Coelastrum,TRUE,Coelastrum,,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Radiococcus planctonicus LUND 1956,Radiococcus planctonicus,Radiococcus planktonicus,FALSE,Radiococcus,planktonicus,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Pediastrum duplex MEYEN 1829,Pediastrum duplex,Pediastrum duplex,TRUE,Pediastrum,duplex,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11b,Quadrigula spp. PRINTZ,Quadrigula,Quadrigula,TRUE,Quadrigula,,11b-GelaChlor,S,0,1,NA,1,NA,1,NA,0
11b,Kirchneriella SCHMIDLE sp.,Kirchneriella,Kirchneriella,TRUE,Kirchneriella,,11b-GelaChlor,S,0,1,NA,1,NA,1,NA,0
