MFG.num,phyto_name,Algaebase_Current_14Aug2017,Match.,genus,species,MFG,CSR,flagella,autotroph,size,colonial,centric,gelatinous,aerotopes,filamentous
11a,Scenedesmus opoliensis,Desmodesmus opoliensis,FALSE,Desmodesmus,opoliensis,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Micractinium bornhemiense,Micractinium bornhemiense,TRUE,Micractinium,bornhemiense,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Scenedesmus serratus,Desmodesmus serratus,FALSE,Desmodesmus,serratus,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Scenedesmus quadricauda,Scenedesmus quadricauda,TRUE,Scenedesmus,quadricauda,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Micractinium pusillum,Micractinium pusillum,TRUE,Micractinium,pusillum,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Scenedesmus subspicatus,Desmodesmus subspicatus,FALSE,Desmodesmus,subspicatus,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11b,Oocystis spp.,Oocystis,FALSE,Oocystis,,11b-GelaChlor,S,0,1,NA,1,NA,1,NA,0
11b,Tetrastrum komarekii,Lemmermannia komarekii,FALSE,Lemmermannia,komarekii,11b-GelaChlor,S,0,1,NA,1,NA,1,NA,0
11b,Planktosphaeria gelatinosa,Planktosphaeria gelatinosa,TRUE,Planktosphaeria,gelatinosa,11b-GelaChlor,S,0,1,NA,1,NA,1,NA,0
11b,Elakatothrix spp.,Elakatothrix,FALSE,Elakatothrix,,11b-GelaChlor,S,0,1,NA,1,NA,1,NA,0
11b,Raphidocelis spp.,Raphidocelis,FALSE,Raphidocelis,,11b-GelaChlor,S,0,1,NA,1,NA,1,NA,0
11b,Kirchneriella spp.,Kirchneriella,FALSE,Kirchneriella,,11b-GelaChlor,S,0,1,NA,1,NA,1,NA,0
11b,Crucigeniella apiculata,Willea apiculata,FALSE,Willea,apiculata,11b-GelaChlor,S,0,1,NA,1,NA,1,NA,0
11b,Dictyosphaerium spp.,Dictyosphaerium,FALSE,Dictyosphaerium,,11b-GelaChlor,S,0,1,NA,1,NA,1,NA,0
1a,Synura uvella,Synura uvella,TRUE,Synura,uvella,1a-LargeChry,SR,1,0,Large,NA,NA,NA,NA,NA
