MFG.num,phyto_name,Algaebase_Current_17Aug2017,Match.,genus,species,MFG,CSR,flagella,autotroph,size,colonial,centric,gelatinous,aerotopes,filamentous
9b,Schroederia spp.,Schroederia,FALSE,Schroederia,,9b-SmallChlor,C,0,1,Small,0,NA,NA,NA,NA
9b,Lagerheimia spp.,Lagerheimia,FALSE,Lagerheimia,,9b-SmallChlor,C,0,1,Small,0,NA,NA,NA,NA
9b,Tetraedron spp.,Tetraedron,FALSE,Tetraedron,,9b-SmallChlor,C,0,1,Small,0,NA,NA,NA,NA
NA,Acanthoceras zachariasii,Acanthoceras zachariasii,TRUE,Acanthoceras,zachariasii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Marssoniella spp.,Marssoniella,FALSE,Marssoniella,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Skeletonema potamos,Skeletonema potamos,TRUE,Skeletonema,potamos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Actinocyclus spp.,Actinocyclus,FALSE,Actinocyclus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Dichotomococcus spp.,Dichotomococcus,FALSE,Dichotomococcus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Anabaenopsis spp.,Anabaenopsis,FALSE,Anabaenopsis,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Didymogenes spp.,Didymogenes,FALSE,Didymogenes,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Suxenella mitrae,Suxenella mitrae,TRUE,Suxenella,mitrae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Aphanizomenon issatschenkoi = Cuspidothrix issatschenkoi,Cuspidothrix issatschenkoi,FALSE,Cuspidothrix,issatschenkoi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Diplochloris spp.,Diplochloris,FALSE,Diplochloris,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Nephroselmis spp.,Nephroselmis,FALSE,Nephroselmis,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Arthrodesmus spp.,Arthrodesmus,FALSE,Arthrodesmus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Arthrospira spp.,Arthrospira,FALSE,Arthrospira,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Astasia spp.,Astasia,FALSE,Astasia,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Tetraplektron spp.,Tetraplektron,FALSE,Tetraplektron,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Bracchiogonium spp.,Bracchiogonium,FALSE,Bracchiogonium,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
