MFG.num,phyto_name,Algaebase_Current_7Aug2017,Match.,X,genus,species,MFG,CSR,flagella,autotroph,size,colonial,centric,gelatinous,aerotopes,filamentous
2c,Trachelomonas volvocina,Trachelomonas volvocina,TRUE,,Trachelomonas,volvocina,2c-SmallEugl,SC,1,0,Small,0,NA,NA,NA,NA
2d,Cryptomonas sp.,Cryptomonas,FALSE,,Cryptomonas,,2d-Crypto,C,1,0,Small,0,NA,NA,NA,NA
2d,Rhodomonas sp.,Rhodomonas,FALSE,,Rhodomonas,,2d-Crypto,C,1,0,Small,0,NA,NA,NA,NA
3a,Chlorogonium maximum,Chlorogonium maximum,TRUE,,Chlorogonium,maximum,3a-UnicPhyto,C,1,1,NA,0,NA,NA,NA,NA
3a,Carteria sp.,Carteria,FALSE,,Carteria,,3a-UnicPhyto,C,1,1,NA,0,NA,NA,NA,NA
3a,Sphaerellopsis fluviatilis,Sphaerellopsis fluviatilis,TRUE,,Sphaerellopsis,fluviatilis,3a-UnicPhyto,C,1,1,NA,0,NA,NA,NA,NA
3a,Chlamydomonas sp.,Chlamydomonas,FALSE,,Chlamydomonas,,3a-UnicPhyto,C,1,1,NA,0,NA,NA,NA,NA
3a,Phacotus lenticularis,Phacotus lenticularis,TRUE,,Phacotus,lenticularis,3a-UnicPhyto,C,1,1,NA,0,NA,NA,NA,NA
3b,Eudorina elegans,Eudorina elegans,TRUE,,Eudorina,elegans,3b-ColoPhyto,S,1,1,NA,1,NA,NA,NA,NA
5a,Limnothrix redekei >2um,Pseudanabaena redekei > 2 um,FALSE,,Pseudanabaena,redekei,5a-FilaCyano,R,0,1,NA,1,NA,NA,NA,NA
5a,Oscillatoria sp.,Oscillatoria,FALSE,,Oscillatoria,,5a-FilaCyano,R,0,1,NA,1,NA,NA,NA,NA
5a,Planktolyngbya sp.,Planktolyngbya,FALSE,,Planktolyngbya,,5a-FilaCyano,R,0,1,NA,1,NA,NA,NA,NA
5a,Limnothrix redekei,Pseudanabaena redekei,FALSE,,Pseudanabaena,redekei,5a-FilaCyano,R,0,1,NA,1,NA,NA,NA,NA
5a,Planktolyngbya capillaris,Planktolyngbya capillaris,TRUE,,Planktolyngbya,capillaris,5a-FilaCyano,R,0,1,NA,1,NA,NA,NA,NA
5a,Planktolyngbya contorta,Planktolyngbya contorta,TRUE,,Planktolyngbya,contorta,5a-FilaCyano,R,0,1,NA,1,NA,NA,NA,NA
5a,Planktolyngbya limnetica,Planktolyngbya limnetica,TRUE,,Planktolyngbya,limnetica,5a-FilaCyano,R,0,1,NA,1,NA,NA,NA,NA
5a,Oscillatoria lauterbornii,Oscillatoria lauterbornii,TRUE,,Oscillatoria,lauterbornii,5a-FilaCyano,R,0,1,NA,1,NA,NA,NA,NA
5a,Limnothrix planktonica,Limnothrix planktonica,TRUE,,Limnothrix,planktonica,5a-FilaCyano,R,0,1,NA,1,NA,NA,NA,NA
5a,Planktothrix agardhii,Planktothrix agardhii,TRUE,,Planktothrix,agardhii,5a-FilaCyano,R,0,1,NA,1,NA,NA,NA,NA
5a,Phormidium breve,Phormidium breve,TRUE,,Phormidium,breve,5a-FilaCyano,R,0,1,NA,1,NA,NA,NA,NA
5b,Microcystis aeruginosa,Microcystis aeruginosa,TRUE,,Microcystis,aeruginosa,5b-LargeVacC,S,0,1,Large,1,NA,NA,1,NA
5b,Microcystis wesenbergii,Microcystis wesenbergii,TRUE,,Microcystis,wesenbergii,5b-LargeVacC,S,0,1,Large,1,NA,NA,1,NA
5b,Microcystis viridis,Microcystis viridis,TRUE,,Microcystis,viridis,5b-LargeVacC,S,0,1,Large,1,NA,NA,1,NA
5b,Microcystis pulverea,Microcystis pulverea,TRUE,,Microcystis,pulverea,5b-LargeVacC,S,0,1,Large,1,NA,NA,1,NA
5b,Microcystis sp.,Microcystis,FALSE,,Microcystis,,5b-LargeVacC,S,0,1,Large,1,NA,NA,1,NA
5c,Aphanothece stagnina,Aphanothece stagnina,TRUE,,Aphanothece,stagnina,5c-OtherChroo,S,0,1,Large,1,NA,NA,0,NA
5c,Microcystis grevillei,Aphanocapsa grevillei,FALSE,,Aphanocapsa,grevillei,5c-OtherChroo,S,0,1,Large,1,NA,NA,0,NA
5c,Cyanodictyon sp.,Cyanodictyon,FALSE,,Cyanodictyon,,5c-OtherChroo,S,0,1,Large,1,NA,NA,0,NA
5c,Snowella lacustris,Snowella lacustris,TRUE,,Snowella,lacustris,5c-OtherChroo,S,0,1,Large,1,NA,NA,0,NA
5c,Lemmermanniella flexa,Lemmermanniella flexa,TRUE,,Lemmermanniella,flexa,5c-OtherChroo,S,0,1,Large,1,NA,NA,0,NA
5c,Coelosphaerium kuetzingianum,Coelosphaerium kuetzingianum,TRUE,,Coelosphaerium,kuetzingianum,5c-OtherChroo,S,0,1,Large,1,NA,NA,0,NA
5d,Chroococcus turgidus,Chroococcus turgidus,TRUE,,Chroococcus,turgidus,5d-SmallChroo,CR,0,1,Small,1,NA,NA,NA,NA
5d,Merismopedia sp.,Merismopedia,FALSE,,Merismopedia,,5d-SmallChroo,CR,0,1,Small,1,NA,NA,NA,NA
5d,Chroococcus sp.,Chroococcus,FALSE,,Chroococcus,,5d-SmallChroo,CR,0,1,Small,1,NA,NA,NA,NA
5d,Merismopedia punctata,Merismopedia punctata,TRUE,,Merismopedia,punctata,5d-SmallChroo,CR,0,1,Small,1,NA,NA,NA,NA
5e,Aphanizomenon skujae,Aphanizomenon skujae,TRUE,,Aphanizomenon,skujae,5e-Nostocales,S,0,1,Small,1,NA,NA,NA,NA
5e,Anabaena sp.,Dolichospermum,FALSE,,Dolichospermum,,5e-Nostocales,S,0,1,Small,1,NA,NA,NA,NA
5e,Anabaena lemmermannii,Dolichospermum lemmermannii,FALSE,,Dolichospermum,lemmermannii,5e-Nostocales,S,0,1,Small,1,NA,NA,NA,NA
