MFG.num,phyto_name,Algaebase_Current_21Aug2017,Match.,Notes,genus,species,MFG,CSR,flagella,autotroph,size,colonial,centric,gelatinous,aerotopes,filamentous
9a,Cosmarium spp,Cosmarium,FALSE,,Cosmarium,,9a-SmallConj,C,0,1,Small,0,NA,NA,NA,NA
9a,Cosmarium leave,Cosmarium laeve,FALSE,,Cosmarium,laeve,9a-SmallConj,C,0,1,Small,0,NA,NA,NA,NA
9a,Cosmarium microporum,Cosmarium macrosporum,FALSE,Checking with Maria; still waiting but can change later if needed,Cosmarium,macrosporum,9a-SmallConj,C,0,1,Small,0,NA,NA,NA,NA
9b,Ankistrodesmus falcatus,Ankistrodesmus falcatus,TRUE,,Ankistrodesmus,falcatus,9b-SmallChlor,C,0,1,Small,0,NA,NA,NA,NA
9b,Tetraedron caudatum,Tetraedron caudatum,TRUE,,Tetraedron,caudatum,9b-SmallChlor,C,0,1,Small,0,NA,NA,NA,NA
9b,Tetraedron minimum,Tetraedron minimum,TRUE,,Tetraedron,minimum,9b-SmallChlor,C,0,1,Small,0,NA,NA,NA,NA
9b,Monoraphidium arcuatum,Ankistrodesmus arcuatus,FALSE,,Ankistrodesmus,arcuatus,9b-SmallChlor,C,0,1,Small,0,NA,NA,NA,NA
9b,Lagheremia spp,Lagerheimia,FALSE,Mis-spelling,Lagerheimia,,9b-SmallChlor,C,0,1,Small,0,NA,NA,NA,NA
9b,Tetraedron spp,Tetraedron,FALSE,,Tetraedron,,9b-SmallChlor,C,0,1,Small,0,NA,NA,NA,NA
9b,Monoraphidium nanum,Monoraphidium nanum,TRUE,,Monoraphidium,nanum,9b-SmallChlor,C,0,1,Small,0,NA,NA,NA,NA
9b,Schroederia indicum,Schroederia indica,FALSE,,Schroederia,indica,9b-SmallChlor,C,0,1,Small,0,NA,NA,NA,NA
9b,Monoraphidium minutum,Monoraphidium minutum,TRUE,,Monoraphidium,minutum,9b-SmallChlor,C,0,1,Small,0,NA,NA,NA,NA
NA,Clostridium spp,Clostridium,FALSE,,Clostridium,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Tetraedron muticum,Goniochloris mutica,FALSE,,Goniochloris,mutica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Anabaenopsis spp,Anabaenopsis,FALSE,,Anabaenopsis,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Cyano colonial 2,Cyanobacteria colony,FALSE,Checking with Maria,Cyanobacteria,colony,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Fusola viridis,Fusola viridis,TRUE,,Fusola,viridis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Botrydium sp,Botrydium,FALSE,,Botrydium,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Chorophyceae unicelular,Chlorophyceae unicellular,FALSE,Mis-spelling,Chlorophyceae,unicellular,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Gnoniochloris fallax,Goniochloris fallax,FALSE,Mis-spelling,Goniochloris,fallax,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Schroederia antillarum,Pseudoschroederia antillarum,FALSE,,Pseudoschroederia,antillarum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Synedra berolinensis,Belonastrum berolinense,FALSE,,Belonastrum,berolinense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Cyano colonial 1,Cyanobacteria colony,FALSE,Checking with Maria,Cyanobacteria,colony,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Scenedesmus acuminatus,Tetradesmus lagerheimii,FALSE,,Tetradesmus,lagerheimii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Pennadas,Pennate diatoms,FALSE,,Pennate,diatoms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Tetraedron regulare,Tetraedriella regularis,FALSE,,Tetraedriella,regularis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Chloro colonial,Chlorophyceae colonial,FALSE,,Chlorophyceae,colonial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Quadrigula lacustris,Gregiochloris lacustris,FALSE,,Gregiochloris,lacustris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Chaetoceros sp,Chaetoceros,FALSE,,Chaetoceros,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Scenedesmus accuminatus,Tetradesmus lagerheimii,FALSE,Mis-spelling and new name in Algaebase,Tetradesmus,lagerheimii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Strombomonas sp,Strombomonas,FALSE,,Strombomonas,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
